levelname,asctime,message,apk,version,phase,loadsJNI,local_port,remote_host,container,ip_source,port_source,method,host,url,port_dest,tls,ip_dest,https,cookie,PII,format,country,error,ip_anycast,android_rating,android_numDownloads,android_category,it_mentioned_by_policy,adequacy_decision_by_policy,countries_mentioned_by_policy,origins_transfers_outside_EEE,destinations_transfers_outside_EEE,frequency_transfers_outside_EEE,outside_EEE,stackTrace,TP-performed,TP-library,FP-intended,apk_it_gdpr_compliance
DEBUG,2023-12-14 19:16:26.404,Connection intercepted,ge.bog.mbankjunior,22,idle,False,,None,new_traffic,192.168.1.178,36526.0,POST,firebaselogging-pa.googleapis.com,https://firebaselogging-pa.googleapis.com/v1/firelog/legacy/batchlog,443.0,True,142.250.178.170,True,[],Build_No,Clear_text,Spain,None,False,,,,False,False,[],[],[],[],False,None,False,None,False,True
DEBUG,2023-12-14 19:16:27.253,Connection intercepted,ge.bog.mbankjunior,22,idle,False,,None,new_traffic,192.168.1.178,36526.0,POST,firebaselogging-pa.googleapis.com,https://firebaselogging-pa.googleapis.com/v1/firelog/legacy/batchlog,443.0,True,142.250.178.170,True,[],Device_Model,Clear_text,Spain,None,False,,,,False,False,[],[],[],[],False,None,False,None,False,True
DEBUG,2023-12-14 19:16:28.290,Connection intercepted,ge.bog.mbankjunior,22,idle,False,,None,new_traffic,192.168.1.178,36526.0,POST,firebaselogging-pa.googleapis.com,https://firebaselogging-pa.googleapis.com/v1/firelog/legacy/batchlog,443.0,True,142.250.178.170,True,[],Device_Model,Clear_text,Spain,None,False,,,,False,False,[],[],[],[],False,None,False,None,False,True
DEBUG,2023-12-14 19:16:29.558,Connection intercepted,ge.bog.mbankjunior,22,idle,False,,None,new_traffic,192.168.1.178,36526.0,POST,firebaselogging-pa.googleapis.com,https://firebaselogging-pa.googleapis.com/v1/firelog/legacy/batchlog,443.0,True,142.250.178.170,True,[],Device_Model,Clear_text,Spain,None,False,,,,False,False,[],[],[],[],False,None,False,None,False,True
DEBUG,2023-12-14 19:16:29.561,Connection intercepted,ge.bog.mbankjunior,22,idle,False,,None,new_traffic,192.168.1.178,36532.0,POST,firebaseremoteconfig.googleapis.com,https://firebaseremoteconfig.googleapis.com/v1/projects/1038173524159/namespaces/fireperf:fetch,443.0,True,142.250.178.170,True,[],No-PII,No-format,Not-searched,None,False,,,,False,False,[],[],[],[],False,None,False,None,False,True
DEBUG,2023-12-14 19:19:31.537,Frida Results,ge.bog.mbankjunior,22,dynamic,True,36520.0,crashlyticsreports-pa.googleapis.com,,,,,,,,False,,False,,,,,None,False,,,,False,False,[],[],[],[],False,None,False,None,False,True
DEBUG,2023-12-14 19:19:31.538,Frida Results,ge.bog.mbankjunior,22,dynamic,True,57668.0,google.com,,,,,,,,False,,False,,,,,None,False,,,,False,False,[],[],[],[],False,None,False,None,False,True
DEBUG,2023-12-14 19:19:31.539,Frida Results,ge.bog.mbankjunior,22,dynamic,True,57666.0,google.com,,,,,,,,False,,False,,,,,None,False,,,,False,False,[],[],[],[],False,None,False,None,False,True
DEBUG,2023-12-14 19:19:31.539,Frida Results,ge.bog.mbankjunior,22,dynamic,True,56818.0,facebook.com,,,,,,,,False,,False,,,,,None,False,,,,False,False,[],[],[],[],False,None,False,None,False,True
DEBUG,2023-12-14 19:19:31.541,Frida Results,ge.bog.mbankjunior,22,dynamic,True,56822.0,facebook.com,,,,,,,,False,,False,,,,,None,False,,,,False,False,[],[],[],[],False,None,False,None,False,True
DEBUG,2023-12-14 19:19:31.541,Frida Results,ge.bog.mbankjunior,22,dynamic,True,43972.0,magticom.ge,,,,,,,,False,,False,,,,,None,False,,,,False,False,[],[],[],[],False,None,False,None,False,True
DEBUG,2023-12-14 19:19:31.541,Frida Results,ge.bog.mbankjunior,22,dynamic,True,43976.0,magticom.ge,,,,,,,,False,,False,,,,,None,False,,,,False,False,[],[],[],[],False,None,False,None,False,True
DEBUG,2023-12-14 19:19:31.541,Frida Results,ge.bog.mbankjunior,22,dynamic,True,32890.0,m.facebook.com,,,,,,,,False,,False,,,,,None,False,,,,False,False,[],[],[],[],False,None,False,None,False,True
DEBUG,2023-12-14 19:19:31.542,Frida Results,ge.bog.mbankjunior,22,dynamic,True,32892.0,m.facebook.com,,,,,,,,False,,False,,,,,None,False,,,,False,False,[],[],[],[],False,None,False,None,False,True
